author,title,date,style,genre,media,dimensions,tag,location,link,image
Jean Arp,Hitler,N/A,Dada,abstract,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/jean-arp/hitler.jpg,hitler.jpg
Jean Arp,"Man, mustache, navel",N/A,Dada,figurative,N/A,N/A,N/A,N/A,https://uploads6.wikiart.org/images/jean-arp/man-mustache-navel.jpg,man-mustache-navel.jpg
Jean Arp,Moondancer,N/A,Surrealism,figurative,watercolor,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/moondancer.jpg,moondancer.jpg
Jean Arp,Еgg Board,N/A,Surrealism,figurative,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/not_detected_242994.jpg,not_detected_242994.jpg
Jean Arp,Cloud Shepherd,N/A,Surrealism,sculpture,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/not_detected_242995.jpg,not_detected_242995.jpg
Jean Arp,Overturned Blue Shoe With Two Heels Under a Black Vault,N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads7.wikiart.org/images/jean-arp/not_detected_242996.jpg,not_detected_242996.jpg
Jean Arp,"Not far from the sun, the moon and the stars",N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads4.wikiart.org/images/jean-arp/not-far-from-the-sun-the-moon-and-the-stars.jpg,not-far-from-the-sun-the-moon-and-the-stars.jpg
Jean Arp,Sun,N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/jean-arp/sun.jpg,sun.jpg
Jean Arp,The Elements: Leaf transformed into a torso,N/A,Surrealism,abstract,N/A,N/A,N/A,N/A,https://uploads3.wikiart.org/images/jean-arp/the-elements-leaf-transformed-into-a-torso.jpg,the-elements-leaf-transformed-into-a-torso.jpg
Jean Arp,Torso Preadamite,N/A,Surrealism,sculpture,N/A,N/A,N/A,N/A,https://uploads4.wikiart.org/images/jean-arp/torso-preadamite.jpg,torso-preadamite.jpg
Georges Vantongerloo,Moored Fishing Boats in Volendam,1915,Post-Impressionism,figurative,N/A,N/A,N/A,N/A,https://uploads1.wikiart.org/images/georges-vantongerloo/moored-fishing-boats-in-volendam-1915.jpg,moored-fishing-boats-in-volendam-1915.jpg
Ulfert Wilke,Untitled,1958,Abstract Expressionism,abstract,lithography,N/A,N/A,N/A,https://uploads5.wikiart.org/images/ulfert-wilke/untitled-1958.jpg,untitled-1958.jpg
Ulfert Wilke,Untitled,1959,Abstract Expressionism,abstract,etching,N/A,N/A,N/A,https://uploads5.wikiart.org/images/ulfert-wilke/untitled-1959.jpg,untitled-1959.jpg
Ulfert Wilke,"Accent on Rhythm, Anchorage",1967,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads5.wikiart.org/images/ulfert-wilke/accent-on-rhythm-anchorage-1967.jpg,accent-on-rhythm-anchorage-1967.jpg
Ulfert Wilke,California,1967,Abstract Expressionism,abstract,"acrylic, canvas",N/A,N/A,N/A,https://uploads7.wikiart.org/images/ulfert-wilke/california-1967.jpg,california-1967.jpg
Ulfert Wilke,Music to Be Seen (Open Edge Series),1976,Abstract Expressionism,abstract,"acrylic, ink",N/A,N/A,N/A,https://uploads3.wikiart.org/images/ulfert-wilke/music-to-be-seen-open-edge-series-1976.jpg,music-to-be-seen-open-edge-series-1976.jpg
Ulfert Wilke,Without Words VIII,1977,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads6.wikiart.org/images/ulfert-wilke/without-words-viii-1977.jpg,without-words-viii-1977.jpg
Ulfert Wilke,Five Six and Four (77-654),1977,Abstract Expressionism,abstract,lithography,N/A,N/A,N/A,https://uploads3.wikiart.org/images/ulfert-wilke/five-six-and-four-77-654-1977.jpg,five-six-and-four-77-654-1977.jpg
Ulfert Wilke,Banners: Red and Orange,N/A,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads5.wikiart.org/images/ulfert-wilke/banners-red-and-orange.jpg,banners-red-and-orange.jpg
Ulfert Wilke,Untitled,N/A,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads0.wikiart.org/images/ulfert-wilke/untitled.jpg,untitled.jpg
Ulfert Wilke,Untitled,N/A,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads2.wikiart.org/images/ulfert-wilke/untitled-1.jpg,untitled-1.jpg
Ulfert Wilke,009,N/A,Abstract Expressionism,abstract,N/A,N/A,N/A,N/A,https://uploads4.wikiart.org/images/ulfert-wilke/009.jpg,009.jpg
